row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
79 http://dbpedia.org/ontology/River 179941 157262 http://schema.org/RiverBodyOfWater 173387 150715 173387 150715 179941 157262 0.9636 0.9584 False True True -0.54
80 http://xmlns.com/foaf/0.1/Organization 164175 164175 http://www.w3.org/ns/org#Organization 607 607 3 3 164779 164779 0.0 0.0 False False False 0
81 http://xmlns.com/foaf/0.1/Organization 164175 164175 http://umbel.org/umbel/sc/Organization 4900 4900 3 3 169072 169072 0.0 0.0 False False False 0
82 http://linkedgeodata.org/ontology/GraveYard 157284 157284 http://linkedgeodata.org/ontology/Cemetery 9866 9866 2620 2620 164530 164530 0.0159 0.0159 False False False 0
83 http://linkedgeodata.org/ontology/Hotel 155495 155495 http://dbpedia.org/ontology/Hotel 4112 4089 0 0 159607 159584 0.0 0.0 False False False 0
84 http://linkedgeodata.org/ontology/Hotel 155495 155495 http://schema.org/Hotel 4112 4089 0 0 159607 159584 0.0 0.0 False False False 0
85 http://schema.org/Product 155305 133750 http://purl.org/goodrelations/v1#ProductOrService 3581 3488 0 0 158886 137238 0.0 0.0 False False False 0
86 http://dbpedia.org/ontology/EducationalInstitution 134018 126128 http://schema.org/EducationalOrganization 125559 117681 125559 117681 134018 126128 0.9369 0.933 False True True -0.42
87 http://linkedgeodata.org/ontology/Island 127028 127028 http://dbpedia.org/ontology/Island 43141 32999 0 0 170169 160027 0.0 0.0 False False False 0
88 http://dbpedia.org/ontology/SportsTeam 126352 89211 http://schema.org/SportsTeam 125005 87998 125005 87998 126352 89211 0.9893 0.9864 False True True -0.29
89 http://linkedgeodata.org/ontology/Hospital 117171 117171 http://dbpedia.org/ontology/Hospital 11241 11206 0 0 128412 128377 0.0 0.0 False False False 0
90 http://linkedgeodata.org/ontology/Hospital 117171 117171 http://schema.org/Hospital 10776 10741 0 0 127947 127912 0.0 0.0 False False False 0
