row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
105 http://dbpedia.org/ontology/University 54521 31241 http://schema.org/CollegeOrUniversity 52661 30223 52228 29837 54954 31627 0.9504 0.9434 False False False -0.74
106 http://schema.org/CollegeOrUniversity 52661 30223 http://dbpedia.org/ontology/College 355 314 277 286 52739 30251 0.0053 0.0095 False False False 79.25
107 http://linkedgeodata.org/ontology/Library 48188 48188 http://schema.org/Library 3392 3011 0 0 51580 51199 0.0 0.0 False False False 0
108 http://linkedgeodata.org/ontology/Airport 44084 43938 http://dbpedia.org/ontology/Airport 42929 16959 0 5971 87013 54926 0.0 0.1087 False False False 9999
109 http://dbpedia.org/ontology/Airport 42929 16959 http://schema.org/Airport 41567 16335 41567 16335 42929 16959 0.9683 0.9632 False True True -0.53
110 http://umbel.org/umbel/sc/Person 40983 40853 http://sw.opencyc.org/2008/06/10/concept/en/Person 1837 1831 0 3 42820 42681 0.0 0.0001 False False False 9999
111 http://data.linkedct.org/vocab/resource/city 40758 40758 http://umbel.org/umbel/sc/City 7211 7145 0 0 47969 47903 0.0 0.0 False False False 0
112 http://purl.org/NET/scovo#Item 38631 38631 http://purl.org/linked-data/cube#Observation 183 183 0 0 38814 38814 0.0 0.0 False False False 0
113 http://dbpedia.org/ontology/HistoricPlace 36050 35433 http://schema.org/LandmarksOrHistoricalBuildings 27084 25274 14999 14752 48135 45955 0.3116 0.321 False False False 3.02
114 http://linkedgeodata.org/ontology/Monument 31770 31770 http://dbpedia.org/ontology/Monument 18702 17439 0 0 50472 49209 0.0 0.0 False False False 0
115 http://dbpedia.org/ontology/Language 29959 10601 http://schema.org/Language 29475 10419 29475 10419 29959 10601 0.9838 0.9828 False True True -0.1
116 http://dbpedia.org/ontology/Stadium 29722 15149 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 36 44822 30213 0.0 0.0012 False False False 9999
117 http://dbpedia.org/ontology/Stadium 29722 15149 http://schema.org/StadiumOrArena 29288 14438 28451 14375 30559 15212 0.931 0.945 False False False 1.5
118 http://linkedgeodata.org/ontology/PowerStation 29699 29699 http://dbpedia.org/ontology/PowerStation 3732 3401 0 0 33431 33100 0.0 0.0 False False False 0
119 http://schema.org/Language 29475 10419 http://www.lingvoj.org/ontology#Lingvo 522 469 0 451 29997 10437 0.0 0.0432 False False False 9999
120 http://swrc.ontoware.org/ontology#Proceedings 29346 29164 http://lsdis.cs.uga.edu/projects/semdis/opus#Proceedings 9900 9900 0 0 39246 39064 0.0 0.0 False False False 0
121 http://schema.org/StadiumOrArena 29288 14438 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 36 44388 29502 0.0 0.0012 False False False 9999
122 http://schema.org/StadiumOrArena 29288 14438 http://dbpedia.org/ontology/Arena 1560 818 1560 818 29288 14438 0.0533 0.0567 False True True 6.38
123 http://sw.opencyc.org/2008/06/10/concept/en/ObjectType 28921 28525 http://umbel.org/umbel/ac/ObjectType 888 854 0 320 29809 29059 0.0 0.011 False False False 9999
124 http://schema.org/LandmarksOrHistoricalBuildings 27084 25274 http://dbpedia.org/ontology/HistoricBuilding 12187 10638 12187 10638 27084 25274 0.45 0.4209 False True True -6.47
125 http://dbpedia.org/ontology/RadioStation 25816 22805 http://schema.org/RadioStation 23471 21331 23471 21331 25816 22805 0.9092 0.9354 False True True 2.88
126 http://sw.opencyc.org/2008/06/10/concept/en/StuffType 25435 25030 http://umbel.org/umbel/ac/StuffType 26 26 0 4 25461 25052 0.0 0.0002 False False False 9999
127 http://sw.opencyc.org/2008/06/10/concept/en/TemporalStuffType 25368 24964 http://umbel.org/umbel/ac/TemporalStuffType 971 923 0 285 26339 25602 0.0 0.0111 False False False 9999
