concept_id;concept_uri;nb_instances;inference;comment
1191;http://umbel.org/umbel/sc/Stairway;3;(no;inf)
1191;http://umbel.org/umbel/sc/Stairway;3;(with;inf)
1196;http://umbel.org/umbel/sc/Statue;3;(no;inf)
1196;http://umbel.org/umbel/sc/Statue;3;(with;inf)
1224;http://umbel.org/umbel/sc/TownSquare;3;(no;inf)
1224;http://umbel.org/umbel/sc/TownSquare;3;(with;inf)
1225;http://sw.opencyc.org/2008/06/10/concept/en/TownSquare;3;(no;inf)
1225;http://sw.opencyc.org/2008/06/10/concept/en/TownSquare;3;(with;inf)
1306;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/cidades.owl#Cidade;3;(no;inf)
1306;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/cidades.owl#Cidade;3;(with;inf)
1349;http://bblfish.net/work/atom-owl/2004-06-22/ns#Person;3;(no;inf)
1349;http://bblfish.net/work/atom-owl/2004-06-22/ns#Person;3;(with;inf)
5;http://annotation.semanticweb.org/2004/iswc#Faculty_Member;2;(with;inf)
8;http://lod.taxonconcept.org/ontology/txn.owl#Bio2RDFTaxon;2;(no;inf)
8;http://lod.taxonconcept.org/ontology/txn.owl#Bio2RDFTaxon;2;(with;inf)
9;http://bioinfo.icapture.ubc.ca/Resources/SemanticTagging/Tag;2;(no;inf)
9;http://bioinfo.icapture.ubc.ca/Resources/SemanticTagging/Tag;2;(with;inf)
16;http://gaia.sip.ucm.es/cbronto.owl#Case;2;(no;inf)
16;http://gaia.sip.ucm.es/cbronto.owl#Case;2;(with;inf)
164;http://example.org/foo#B;2;(no;inf)
176;http://lod.taxonconcept.org/ontology/txn.owl#Occurrence;2;(no;inf)
176;http://lod.taxonconcept.org/ontology/txn.owl#Occurrence;2;(with;inf)
255;http://purl.org/ontology/po/Person;2;(no;inf)
255;http://purl.org/ontology/po/Person;2;(with;inf)
258;http://rdf.geospecies.org/ont/geospecies#Project;2;(no;inf)
258;http://rdf.geospecies.org/ont/geospecies#Project;2;(with;inf)
276;http://sw.opencyc.org/2008/06/10/concept/en/AcademicDepartmentTypeBySubject;2;(no;inf)
276;http://sw.opencyc.org/2008/06/10/concept/en/AcademicDepartmentTypeBySubject;2;(with;inf)
283;http://umbel.org/umbel/ac/ActionTypeByLegality;2;(no;inf)
283;http://umbel.org/umbel/ac/ActionTypeByLegality;2;(with;inf)
286;http://sw.opencyc.org/2008/06/10/concept/en/Action_Device_Topic;2;(no;inf)
286;http://sw.opencyc.org/2008/06/10/concept/en/Action_Device_Topic;2;(with;inf)
300;http://sw.opencyc.org/2008/06/10/concept/en/Ailments_Topic;2;(no;inf)
300;http://sw.opencyc.org/2008/06/10/concept/en/Ailments_Topic;2;(with;inf)
301;http://umbel.org/umbel/ac/AircraftTypeByBrand;2;(no;inf)
301;http://umbel.org/umbel/ac/AircraftTypeByBrand;2;(with;inf)
333;http://umbel.org/umbel/ac/Attitude_Topic;2;(no;inf)
333;http://umbel.org/umbel/ac/Attitude_Topic;2;(with;inf)
346;http://sw.opencyc.org/2008/06/10/concept/en/BallTypeByGame;2;(no;inf)
